"Filename" "BW" "BNL" "SE" "Bal" "mean CochDiff" "std CochDiff" "CCCor" "DCOff" "DCOff ratio" "SSPS" "RDelay" "isMono" "DH1" "DH2" "DH3" "DH4" "DH5" "DH6" "DH7" "DH8" "AVSP1" "AVSP2" "AVSP3" "AVSP4" "AVSP5" "AVSP6" 
generated/drumloop/attractor_00_drumloop.wav 5830.0067715795 -83.9328060021 5.3912900274 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0006938770 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -29.3878686519 0.0327654424 -22.0000000000 -29.3878686519 -27.5282905573 5.7483020544 13.9990756321 -0.8428129212 0.0004882813 0.0001023198 0.0032730737 2352.2570968711 0.0890041245 183.0322265625 
generated/drumloop/attractor_01_drumloop.wav 3796.1988214094 -68.1642154300 6.0354848088 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0011408756 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -32.1246599768 0.0392734893 -26.0000000000 -32.1246599768 -30.6017913218 5.5461624788 12.1143349996 -0.9238057403 0.0004882813 0.0002405465 0.0018612516 6878.7335109167 0.0417502524 172.2656250000 
generated/drumloop/attractor_02_drumloop.wav 6208.5146484375 -109.0703744953 5.0994178227 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0026778346 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -31.0920657417 0.0367521812 -25.0000000000 -31.0920657417 -29.7184774306 5.6094180255 12.5566550672 -0.8836565195 0.0004882813 0.0000788286 0.0044406324 1747.4057612007 0.1233153191 43.0664062500 
generated/drumloop/attractor_03_drumloop.wav 3564.3929642729 -91.5500259500 6.2093234975 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0009489082 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -31.2537435924 0.0303851390 -22.0000000000 -31.2537435924 -29.7957691154 5.7814749224 14.0503237907 -0.7378820772 0.0004882813 0.0002371921 0.0020121590 6404.2478530045 0.0512701897 183.0322265625 
generated/drumloop/attractor_04_drumloop.wav 2939.1896769789 -75.7530137929 5.7075048953 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0018434211 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -30.3282306616 0.0270558756 -26.0000000000 -30.3282306616 -29.1604609618 5.9495487480 15.6036779795 -0.5816784959 0.0004882812 0.0001459623 0.0038562759 3805.8816773403 0.0989554373 43.0664062500 
generated/drumloop/attractor_05_drumloop.wav 4027.3259815992 -68.1535722157 5.4467933264 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0020981749 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -28.1621225924 0.0305960437 -24.0000000000 -28.1621225924 -27.3168355494 5.7529252177 13.5669969940 -0.6435585038 0.0004882812 0.0000923688 0.0043719614 1929.2138284219 0.1083864900 183.0322265625 
generated/drumloop/attractor_06_drumloop.wav 3356.7733983256 -76.5835574111 6.2584870733 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0013678656 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -26.6406077168 0.0366712213 -19.0000000000 -26.6406077168 -25.4013438544 5.5567945309 12.2111837900 -0.9523208057 0.0004882812 0.0002402414 0.0021856564 5805.2072017360 0.0538336073 183.0322265625 
generated/drumloop/attractor_07_drumloop.wav 2884.7705218034 -90.2551548217 6.6215485630 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0005024052 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -32.2179933724 0.0269789910 -28.0000000000 -32.2179933724 -31.2141914767 5.9434697068 15.4220611871 -0.5521644045 0.0004882813 0.0002346588 0.0025596716 5511.9131535886 0.0761036342 183.0322265625 
generated/drumloop/attractor_08_drumloop.wav 4101.5507476719 -66.1547610132 4.9787815203 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0030901221 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -28.2740494426 0.0311570673 -21.0000000000 -28.2740494426 -26.1464642319 5.7867863174 14.5363253556 -0.8234163348 0.0004882812 0.0000889398 0.0041446054 1931.0987157133 0.1022398991 43.0664062500 
generated/drumloop/attractor_09_drumloop.wav 7488.5712890625 -104.4373772419 4.5078780840 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0014298966 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -34.7838508994 0.0375806902 -32.0000000000 -34.7838508994 -33.8741027914 5.6413231591 12.5863774690 -0.6685554985 0.0004882813 0.0000269491 0.0047521208 723.9020768178 0.0891840997 183.0322265625 
generated/drumloop/attractor_10_drumloop.wav 3212.8896456393 -85.8800869203 6.3367134132 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0006750826 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -29.2155681219 0.0312416625 -26.0000000000 -29.2155681219 -28.2844219834 5.7478739393 13.5751429528 -0.7084669407 0.0004882813 0.0002361558 0.0025319094 5237.6176292869 0.0742429793 183.0322265625 
